software,method,target,unit,n,mae,rmse,r2,interpretation
ORCA,R2SCAN-3C,dipole_moment,Debye,18,0.7368828131759195,1.0347451533003214,0.4341454107483095,exploratory
ORCA,wB97X-3c,dipole_moment,Debye,18,0.7333127684087072,1.0417634589872369,0.4636971246945779,exploratory
ORCA,wB97X-3c,homo_lumo_gap,eV,18,0.35724890011993193,0.4492922985082499,0.8742791958192577,exploratory
xTB,GFN2-xTB,dipole_moment,Debye,18,2.7040082655797177,3.784614938118095,-0.3110358906640034,exploratory
xTB,GFN2-xTB,homo_lumo_gap,eV,18,0.6618374155299892,0.8555251259800631,0.9506427337995922,exploratory
