metric,p2_5,median,p97_5
mae,0.3731854324298151,0.5772705411022676,0.8108176865252776
rmse,0.5022031537060145,0.7869824867884918,1.0971272599209652
r2,0.7690013488448234,0.8987683394392914,0.9577097616148793
