fuel_property_id,molecule_id,source_id,property_name,value,unit,temperature_c,pressure_bar,uncertainty,measurement_method,value_origin,page_table_figure,notes,preferred_name,molecule_role,canonical_smiles,title,year,doi,value_std,unit_std,conversion
22,20,62,specific_energy,43.6,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.6,MJ/kg,identity
23,20,62,energy_density,35.81,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,35.81,MJ/L,identity
24,20,62,melting_point,-54.4,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,-54.4,°C,identity
25,20,62,density,828.6,kg/m3,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,828.6,kg/m3,identity
26,20,62,flash_point,49.2,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,49.2,°C,identity
27,21,62,specific_energy,43.26,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.26,MJ/kg,identity
28,21,62,energy_density,35.4,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,35.4,MJ/L,identity
29,21,62,melting_point,-75.0,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,-75.0,°C,identity
30,21,62,density,825.8,kg/m3,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,825.8,kg/m3,identity
31,21,62,flash_point,40.5,°C,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,40.5,°C,identity
