molecule_id,PC1,PC2,PC3,PC4,PC5,cluster,preferred_name,molecule_role
1,-7.5835186025513375,8.094082623737199,-0.7363130231470713,-2.54742154506962,1.8897384964945678,1,D-glucose,platform_molecule
2,-5.046829190598137,6.116158656277801,-1.9862593040448893,-2.113023859951999,2.339135852198567,1,D-xylose,platform_molecule
3,4.238256970816733,2.401284862198395,-1.5523084847732627,1.0904555883699882,0.5493082893797882,0,5-hydroxymethylfurfural,platform_molecule
4,1.782444544637237,2.463453728211162,-5.750164321928273,6.765306136122012,-3.6263492903945784,0,levulinic acid,platform_molecule
5,-7.822549505490941,7.935834156958127,0.41515549673901775,-1.836281436126918,-4.968547105244399,1,sorbitol,platform_molecule
6,6.201385235958849,0.36271168132742576,-1.9832167970300312,0.29451312846709665,0.4179569539481527,0,furfural,platform_molecule
7,4.213713673553725,0.3277799489031072,-1.4596426673890825,-1.682866485414519,-0.04585402249067678,0,furfuryl alcohol,intermediate
8,5.203392779122254,-2.9915354528638773,-1.6091275851970261,-4.522878428458719,-1.0714700609780228,0,2-methylfuran,fuel_candidate
9,4.68908136509196,-1.0491018525865297,2.379473095041802,-0.9389313893742532,-1.1615703872586536,0,phenol,intermediate
10,3.487247703661413,1.8127402396582406,5.415285855170362,1.1554617202402997,0.4765284828948024,0,guaiacol,intermediate
11,1.942582258485235,4.475913059579316,8.281109383859107,3.248878561798948,1.508487581957475,0,syringol,intermediate
12,3.9093837367667215,0.6692047646647502,3.6605800595101337,0.5074748942471242,-0.5412490440164283,0,catechol,intermediate
13,-3.5005098562436983,-6.841730591630263,-0.3273043685619115,-0.3973547393960562,1.847017043953135,2,cyclohexane,fuel_candidate
14,2.066989046194047,1.3822618699805131,-5.904237665512673,2.5821956860122954,4.717017243716422,0,gamma-valerolactone,fuel_candidate
15,3.9503124313752487,-3.6989618672202615,-1.0443384892953886,-5.754498495474343,-1.5705428402916313,0,"2,5-dimethylfuran",fuel_candidate
171,-5.296945690535022,-7.227005348378581,0.10395334128041493,2.283331995905434,-4.761674036281446,2,2-methylheptane,fuel_candidate
172,-5.647064966554313,-7.102820693358284,0.719577678350302,0.5359729191771655,2.116040190659948,2,ethylcyclohexane,fuel_candidate
173,-6.787371933689984,-7.130269785458251,1.37777779692847,1.329665748926063,1.8860266517529731,2,propylcyclohexane,fuel_candidate
