molecule_id,preferred_name,descriptor_name,descriptor_value,unit,software,software_version,calculation_date,config_hash,notes
4,levulinic acid,Eccentricity,0.9566633194208485,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,InertialShapeFactor,0.007750574630477234,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,SpherocityIndex,0.3041139771030239,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,PMI1,126.36182832951552,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,PMI2,424.9910961049165,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,PMI3,433.94034286722234,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,NPR1,0.291196313978532,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
4,levulinic acid,NPR2,0.9793767809114624,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,RadiusOfGyration,2.796037457769178,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,Asphericity,0.5843117263053385,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,Eccentricity,0.9860450576997903,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,InertialShapeFactor,0.004164941284839499,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,SpherocityIndex,0.22463702306481864,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,PMI1,225.29135195947245,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,PMI2,1269.8117884365922,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,PMI3,1353.2746609143737,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,NPR1,0.16647865985109686,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
5,sorbitol,NPR2,0.938325252893313,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
6,furfural,RadiusOfGyration,1.7946907506915704,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
6,furfural,Asphericity,0.5203684785087165,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
6,furfural,Eccentricity,0.9798376469186575,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
6,furfural,InertialShapeFactor,0.012941387012848984,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
6,furfural,SpherocityIndex,2.1153241326922858e-10,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
