reactant_id,product_id,reaction_id,reaction_name,reaction_class,temperature_c,pressure_bar,reaction_time_h,yield_pct,conversion_pct,selectivity_pct,trl,source_id
6,7,62,furfural to furfuryl alcohol,hydrogenation,70.0,7.0,7.0,,26.1,,,58
6,7,63,furfural to furfuryl alcohol,hydrogenation,170.0,,3.0,72.5,75.0,,,58
6,7,64,furfural to furfuryl alcohol,hydrogenation,100.0,,8.0,96.0,100.0,,,58
6,7,65,furfural to furfuryl alcohol,hydrogenation,130.0,,3.0,92.5,95.6,,,58
6,7,66,furfural to furfuryl alcohol,hydrogenation,100.0,10.0,5.0,94.5,100.0,,,58
3,15,67,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,220.0,6.8,10.0,61.0,100.0,,,64
3,15,68,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,220.0,6.8,10.0,71.0,100.0,,,64
3,15,69,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,75.0,,15.0,32.0,,,,64
3,15,70,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,220.0,10.0,6.0,33.0,90.0,,,64
3,15,71,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,200.0,20.0,2.0,94.7,100.0,,,64
3,15,72,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,120.0,,15.0,,100.0,,,64
3,15,73,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,260.0,,1.5,60.3,99.8,,,64
3,15,74,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,120.0,62.0,1.0,15.0,47.0,,,64
3,15,75,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,70.0,,15.0,95.0,100.0,,,64
3,15,76,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,300.0,,0.75,34.0,100.0,,,64
3,15,77,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,190.0,,6.0,81.0,100.0,,,64
3,15,78,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,80.0,10.0,2.0,100.0,100.0,,,64
3,15,79,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,130.0,7.0,24.0,93.4,99.0,,,64
3,15,80,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,180.0,10.0,2.0,98.0,100.0,,,64
3,15,81,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,60.0,6.0795,6.0,96.0,100.0,,,64
3,15,82,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,180.0,40.0,3.0,96.0,100.0,,,64
