route_id,biomass_id,biomass_name,start_molecule_id,start_molecule,fuel_molecule_id,fuel_molecule,steps,molecule_path_ids,molecule_path,reaction_ids,route_yield_pct,yield_complete,max_temperature_c,max_pressure_bar,total_time_h,pressure_missing_steps,time_missing_steps,min_trl_known,n_reaction_sources,route_delta_E_wB97X3c_kJ_mol,route_delta_G_r2SCAN3c_298K_kJ_mol,n_biomass_evidences,pareto_rank,crowding_distance
19,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",85.19280000000002,True,180.0,20.0,0.25,1,1,,2,,,4,1,inf
14,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",71.0,True,140.0,10.0,2.008333,1,0,,2,,,4,1,inf
