molecule_id,preferred_name,conf_id,force_field,energy_kcal_mol,delta_e_kcal_mol,boltzmann_weight_298K,within_5kcal
1,D-glucose,0,MMFF94,78.58415067908977,0.0,0.9982262917331142,True
1,D-glucose,1,MMFF94,82.72412207909858,4.139971400008804,0.0009217410079486615,True
1,D-glucose,2,MMFF94,97.26996536854942,18.685814689459647,2.006465925379452e-14,False
1,D-glucose,3,MMFF94,101.88740087285449,23.30325019376471,8.276144730073677e-18,False
1,D-glucose,4,MMFF94,85.06670058146607,6.482549902376292,1.7680190960011188e-05,False
1,D-glucose,5,MMFF94,89.63999250597377,11.055841826883992,7.856709726589645e-09,False
1,D-glucose,6,MMFF94,98.18776807746126,19.603617398371483,4.262630956485428e-15,False
1,D-glucose,7,MMFF94,94.24615997196986,15.662009292880086,3.3029083694677005e-12,False
1,D-glucose,8,MMFF94,84.91845833248004,6.334307653390269,2.2706451749860792e-05,False
1,D-glucose,9,MMFF94,87.77956377253119,9.195413093441417,1.815283386460732e-07,False
1,D-glucose,10,MMFF94,82.84584977893093,4.261699099841152,0.0007505539007087653,True
1,D-glucose,11,MMFF94,92.17208107014581,13.587930391056034,1.0944776833879428e-10,False
1,D-glucose,12,MMFF94,96.08362387229964,17.499473193209866,1.4860250828842292e-13,False
1,D-glucose,13,MMFF94,84.33453323191327,5.7503825528234955,6.083721754667921e-05,False
2,D-xylose,0,MMFF94,62.55955580241754,0.0,0.9998122413084699,True
2,D-xylose,1,MMFF94,70.18427975106799,7.624723948650448,2.576066151069098e-06,False
2,D-xylose,2,MMFF94,67.69080729249816,5.131251490080622,0.00017325469274932952,False
2,D-xylose,3,MMFF94,73.5660586000592,11.006502797641652,8.552555731636923e-09,False
2,D-xylose,4,MMFF94,70.16374273848933,7.604186936071791,2.666924651791743e-06,False
2,D-xylose,5,MMFF94,76.37722276497117,13.817666962553623,7.438721178716291e-11,False
2,D-xylose,6,MMFF94,69.42671816176083,6.86716235934329,9.252381030571816e-06,False
2,D-xylose,7,MMFF94,82.10382307279136,19.544267270373815,4.719229802223006e-15,False
3,5-hydroxymethylfurfural,0,MMFF94,22.852185610034574,0.0,0.9317351182025604,True
3,5-hydroxymethylfurfural,1,MMFF94,24.449484145780765,1.5972985357461909,0.0628730477691501,True
3,5-hydroxymethylfurfural,2,MMFF94,25.923758194157784,3.07157258412321,0.0052217266898829445,True
3,5-hydroxymethylfurfural,3,MMFF94,27.952517768086526,5.100332158051952,0.0001701073384066869,False
4,levulinic acid,0,MMFF94,-35.39601694913413,1.6078777730582772,0.019079303998469063,True
4,levulinic acid,1,MMFF94,-37.003894722192406,0.0,0.28783600230550666,True
4,levulinic acid,2,MMFF94,-35.40474556858923,1.5991491536031788,0.019362465204529177,True
4,levulinic acid,3,MMFF94,-37.0038947207396,1.4528040992445312e-09,0.28783600159971773,True
4,levulinic acid,4,MMFF94,-35.404745583334005,1.599149138858401,0.019362465686389944,True
4,levulinic acid,5,MMFF94,-35.40474557743586,1.5991491447565451,0.019362465493638025,True
4,levulinic acid,6,MMFF94,-35.39601694697848,1.6078777752139288,0.019079303929052393,True
4,levulinic acid,7,MMFF94,-37.00389470218632,2.0006083900625526e-08,0.2878359925863212,True
4,levulinic acid,8,MMFF94,-35.39601694051558,1.6078777816768266,0.019079303720933027,True
4,levulinic acid,9,MMFF94,-33.78005867486888,3.2238360473235232,0.0012475469334201435,True
4,levulinic acid,10,MMFF94,-35.39601695202254,1.607877770169864,0.01907930409148225,True
4,levulinic acid,11,MMFF94,-33.5456018623935,3.4582928597989095,0.0008398444505403431,True
5,sorbitol,0,MMFF94,96.10661568152767,5.759842328514139,3.223347490922236e-05,False
5,sorbitol,1,MMFF94,106.01425619889172,15.667482845878183,1.7617984799849064e-12,False
5,sorbitol,2,MMFF94,96.29709537678869,5.950322023775158,2.3371389933863932e-05,False
5,sorbitol,3,MMFF94,97.51809934688417,7.171325993870639,2.9763391737052827e-06,False
5,sorbitol,4,MMFF94,105.32659642129975,14.979823068286223,5.623599010155659e-12,False
5,sorbitol,5,MMFF94,93.9401153794558,3.593342026442272,0.0012484261831694312,True
5,sorbitol,6,MMFF94,98.78704706133456,8.44027370832103,3.49572524650908e-07,False
5,sorbitol,7,MMFF94,94.49898455004818,4.152211197034646,0.0004860813112181947,True
5,sorbitol,8,MMFF94,100.85836299575205,10.511589642738514,1.0598689643031267e-08,False
5,sorbitol,9,MMFF94,91.73593443067821,1.3891610776646814,0.05152745775041981,True
5,sorbitol,10,MMFF94,90.55572658025218,0.20895322723865206,0.3776913803832446,True
5,sorbitol,11,MMFF94,94.18068572985914,3.8339123768456034,0.0008318089290356264,True
5,sorbitol,12,MMFF94,94.59634850729914,4.249575154285608,0.0004124208830410328,True
5,sorbitol,13,MMFF94,104.65232707509436,14.30555372208083,1.754919526836132e-11,False
5,sorbitol,14,MMFF94,100.61913339247599,10.272360039462455,1.587116077802404e-08,False
5,sorbitol,15,MMFF94,92.04992211090541,1.7031487578918814,0.030330819819003863,True
5,sorbitol,16,MMFF94,102.6909679633635,12.344194610349973,4.807766997969214e-10,False
5,sorbitol,17,MMFF94,103.4337925324252,13.08701917941167,1.3723005088917226e-10,False
5,sorbitol,18,MMFF94,98.74251562106868,8.395742268055145,3.7685914917561977e-07,False
5,sorbitol,19,MMFF94,99.86452512990451,9.517751776890975,5.672054381547627e-08,False
5,sorbitol,20,MMFF94,101.18187900883589,10.83510565582236,6.139221345739777e-09,False
5,sorbitol,21,MMFF94,100.81485771517761,10.468084362164078,1.1406220608117614e-08,False
5,sorbitol,22,MMFF94,90.34677335301353,0.0,0.5374039471974902,True
5,sorbitol,23,MMFF94,100.83565815969696,10.48888480668343,1.1012728571779088e-08,False
5,sorbitol,24,MMFF94,97.53406673057422,7.187293377560692,2.897198468684785e-06,False
5,sorbitol,25,MMFF94,106.20682018154528,15.86004682853175,1.272933899004102e-12,False
5,sorbitol,26,MMFF94,97.175571020501,6.828797667487464,5.305880029760985e-06,False
5,sorbitol,27,MMFF94,100.16043936489646,9.81366601188293,3.4421813448953884e-08,False
5,sorbitol,28,MMFF94,104.76151625346527,14.414742900451742,1.459556741454537e-11,False
6,furfural,0,MMFF94,22.284150710177453,4.101326387371326,0.0009846435947561305,True
6,furfural,1,MMFF94,18.182824322806127,0.0,0.9990153564052437,True
7,furfuryl alcohol,0,MMFF94,5.420873002360474,2.031357304588255e-09,0.49999999914286547,True
7,furfuryl alcohol,1,MMFF94,5.420873000329117,0.0,0.5000000008571346,True
8,2-methylfuran,0,MMFF94,1.8062203127675274,0.0,1.0,True
9,phenol,0,MMFF94,5.713261106108133,0.0,1.0,True
10,guaiacol,0,MMFF94,19.323519959669316,0.0,1.0,True
11,syringol,0,MMFF94,40.03867495445486,0.0,1.0,True
12,catechol,0,MMFF94,4.6741662650753755,0.0,1.0,True
13,cyclohexane,0,MMFF94,-3.5609335406778335,0.0,0.9999549757368912,True
13,cyclohexane,1,MMFF94,2.3688122568389263,5.92974579751676,4.502426310889378e-05,False
14,gamma-valerolactone,0,MMFF94,-7.462398882742726,4.6222172755960855e-09,0.2597708682048629,True
14,gamma-valerolactone,1,MMFF94,-7.175830564705475,0.28656832265946885,0.1601527539412136,True
14,gamma-valerolactone,2,MMFF94,-7.175830563790049,0.2865683235748948,0.16015275369376766,True
14,gamma-valerolactone,3,MMFF94,-7.462398887364944,0.0,0.25977087023144163,True
14,gamma-valerolactone,4,MMFF94,-7.1758305646592335,0.2865683227057101,0.16015275392871428,True
15,"2,5-dimethylfuran",0,MMFF94,2.0074226129318964,0.0,1.0,True
171,2-methylheptane,0,MMFF94,-0.23577193795394713,3.37133343464302e-09,0.2511577107963121,True
171,2-methylheptane,1,MMFF94,-0.23577194132528057,0.0,0.25115771222543937,True
171,2-methylheptane,2,MMFF94,0.8073317646675235,1.043103705992804,0.04318631976210321,True
171,2-methylheptane,3,MMFF94,0.37369261480342253,0.6094645561287031,0.08978543656708012,True
171,2-methylheptane,4,MMFF94,3.9525809067210886,4.188352848046369,0.00021372856809641138,True
171,2-methylheptane,5,MMFF94,0.5445594716406266,0.7803314129659071,0.06729140922959005,True
171,2-methylheptane,6,MMFF94,1.055317728886883,1.2910896702121635,0.028416541687094624,True
171,2-methylheptane,7,MMFF94,1.4676217577409005,1.703393699066181,0.014169361237924942,True
171,2-methylheptane,8,MMFF94,3.562412577716902,3.7981845190421826,0.00041291241975254206,True
171,2-methylheptane,9,MMFF94,0.3736926142693022,0.6094645555945828,0.08978543664802094,True
171,2-methylheptane,10,MMFF94,0.8904789784857838,1.1262509198110644,0.03753175437038385,True
171,2-methylheptane,11,MMFF94,1.224475473041033,1.4602474143663136,0.02135884361576812,True
171,2-methylheptane,12,MMFF94,3.943684727206791,4.1794566685320715,0.0002169619227499567,True
171,2-methylheptane,13,MMFF94,0.8073317714569974,1.043103712782278,0.04318631926721741,True
171,2-methylheptane,14,MMFF94,4.359213842925967,4.594985784251247,0.00010759660432618709,True
171,2-methylheptane,15,MMFF94,0.5928731491564889,0.8286450904817695,0.062021955078140116,True
172,ethylcyclohexane,0,MMFF94,8.98861434976586,7.549406561033459,1.4628336388118098e-06,False
172,ethylcyclohexane,1,MMFF94,1.4392077918298938,3.097492040637917e-09,0.4999750664787722,True
172,ethylcyclohexane,2,MMFF94,7.173084284675165,5.733876495942763,3.133197067110951e-05,False
172,ethylcyclohexane,3,MMFF94,1.4392077887324017,0.0,0.4999750690926256,True
172,ethylcyclohexane,4,MMFF94,8.387384507845457,6.9481767191130555,4.035519693622925e-06,False
