iter	RMSE
323	0.2393517568
324	0.2375180123
325	0.235708949
326	0.2341937927
327	0.2334171586
328	0.2324563124
329	0.2306810358
330	0.2292125747
331	0.2274620955
332	0.2267159733
333	0.2252970686
334	0.2240043763
335	0.223088259
336	0.221390524
337	0.2199925577
338	0.2192852761
339	0.21839689
340	0.2167307818
341	0.215087095
342	0.2137328475
343	0.212112197
344	0.2112550214
345	0.2096598779
346	0.2083403633
347	0.2067676508
348	0.2054740241
349	0.2048241418
350	0.2041824841
351	0.2033645722
352	0.2018248561
353	0.2003059085
354	0.1990600295
355	0.1975625131
356	0.196773086
357	0.1952991318
358	0.1940853016
359	0.1926322211
360	0.1914424225
361	0.1907886412
362	0.189360833
363	0.1882216259
364	0.1874786183
365	0.1863583669
366	0.1849676096
367	0.183832937
368	0.1832083217
369	0.1818417568
370	0.1807307459
371	0.1801189017
372	0.178776116
373	0.1776882932
374	0.1770889507
375	0.1757695391
376	0.174704441
377	0.1734038234
378	0.1727242562
379	0.171444166
380	0.1704063108
381	0.1691445301
382	0.1682945283
383	0.1677307005
384	0.166492193
385	0.1654873206
386	0.1649349288
387	0.163718081
388	0.1627342602
389	0.1615348773
390	0.1605708275
391	0.1600343131
392	0.1588559718
393	0.1579121543
394	0.157386492
395	0.1562288375
396	0.1553048527
397	0.1547898199
398	0.1536525043
399	0.1527479608
400	0.1516270533
401	0.1508896702
402	0.1503934238
403	0.1492931783
404	0.1484173669
405	0.1473330432
406	0.1466260778
407	0.1461478956
408	0.1450835036
409	0.1442354574
410	0.1431865178
411	0.1423557092
412	0.1418911364
413	0.1408607459
414	0.1401645098
415	0.1397106147
416	0.1384123421
417	0.1376124394
418	0.1371671898
419	0.1361701564
420	0.1353871396
421	0.1349508397
422	0.1339714357
423	0.1332049752
424	0.1327774447
425	0.1318153777
426	0.1310651504
427	0.1298500956
428	0.1294336858
429	0.1287048211
430	0.1282938483
431	0.1273609948
432	0.1266475701
433	0.1262448747
434	0.1253285533
435	0.1246302685
436	0.1237273747
437	0.1231672466
438	0.1227791849
439	0.1218928589
440	0.1212165721
441	0.1200935703
442	0.1197156281
443	0.1188528072
444	0.1181965456
445	0.1178262018
446	0.1169787375
447	0.1163364503
448	0.1157671425
449	0.1154057553
450	0.1143403552
451	0.1139854326
452	0.1133659542
453	0.1130156483
454	0.1121988929
455	0.1115926086
456	0.1107879201
457	0.1101941864
458	0.109853795
459	0.1090634807
460	0.1085345958
461	0.1079572906
462	0.1076251016
463	0.106632934
464	0.1063067035
465	0.1055419696
466	0.1049821402
467	0.1046624679
468	0.1039114147
469	0.1033635695
470	0.102927383
471	0.1019831236
472	0.1016747067
473	0.1012248512
474	0.1006121803
475	0.1003077029
476	0.1000068692
477	0.09940509193
478	0.09910772615
479	0.09867640605
480	0.09808989931
481	0.09779631075
482	0.09722039506
483	0.09693018924
484	0.09651640888
485	0.09595521283
486	0.09566867398
487	0.09538557577
488	0.09483441194
489	0.09455391585
490	0.09417565255
491	0.09378044773
492	0.09297943124
493	0.09270623628
494	0.09243633478
495	0.09191138619
496	0.09113749306
497	0.09037948166
498	0.09011379777
499	0.08937191054
500	0.08910993525
501	0.08876186205
502	0.08803766878
503	0.087782213
504	0.08744477009
505	0.08688168189
506	0.08663284388
507	0.08627155478
508	0.08572187495
509	0.08547692436
510	0.08501277508
511	0.08455712451
512	0.08396785498
513	0.08344679933
514	0.08320525003
515	0.08276669931
516	0.0823361853
517	0.0819135766
518	0.08136547858
519	0.08099640558
520	0.08050707711
521	0.08010523782
522	0.07975008528
523	0.07923526947
524	0.0788184872
525	0.07843581082
526	0.07797843923
527	0.07763912439
528	0.07727044232
529	0.07704623989
530	0.07683162563
531	0.07643562873
532	0.07622431741
533	0.07600430364
534	0.07578689429
535	0.07557961382
536	0.07511504852
537	0.0749095432
538	0.07447858245
539	0.07427458884
540	0.07406334236
541	0.07374951623
542	0.07354111552
543	0.07334274944
544	0.07313653056
545	0.07293277436
546	0.07273816237
547	0.0725365388
548	0.07219682062
549	0.07199764189
550	0.07166412364
551	0.0714664381
552	0.07105716044
553	0.07086790277
554	0.07068111622
555	0.07048812365
556	0.07019840501
557	0.07000722918
558	0.06981830442
559	0.06949917963
560	0.06931183042
561	0.06907184052
562	0.06875790042
563	0.06857367486
564	0.06833724581
565	0.06770240379
566	0.06742609078
567	0.06712162924
568	0.06674039972
569	0.06655995715
570	0.06638155134
571	0.06620899941
572	0.06583791144
573	0.06566662953
574	0.06505918116
575	0.06446416951
576	0.06425946851
577	0.06405790252
578	0.06370684433
579	0.06350998373
580	0.06334202408
581	0.06299938809
582	0.06283268547
583	0.06266817541
584	0.06233125465
585	0.06216798221
586	0.06160389829
587	0.06105140239
588	0.06086198356
589	0.06067538511
590	0.06035653001
591	0.06017412467
592	0.06001404142
593	0.05970273826
594	0.05954389391
595	0.05938717426
596	0.05923254985
597	0.05870452593
598	0.05818739543
599	0.05801023893
